order_id,date,customer_type,city,product,category,quantity,unit_price,discount,revenue,status
ORD-10001,2026-01-01,Consumer,New York,Laptop Pro,Electronics,1,1299,0.0,1299.0,Completed
ORD-10002,2026-02-02,Small Business,Chicago,Headphones,Electronics,4,179,0.05,680.2,Completed
ORD-10003,2026-03-03,Enterprise,Seattle,Keyboard,Electronics,7,119,0.1,749.7,Completed
ORD-10004,2026-04-04,Consumer,Austin,Office Chair,Furniture,2,349,0.15,593.3,Returned
ORD-10005,2026-05-05,Small Business,Boston,Standing Desk,Furniture,5,499,0.2,1996.0,Completed
ORD-10006,2026-06-06,Enterprise,Washington DC,Monitor,Electronics,8,329,0.0,2632.0,Completed
ORD-10007,2026-07-07,Consumer,New York,Desk Lamp,Home,3,59,0.05,168.15,Completed
ORD-10008,2026-08-08,Small Business,Chicago,Coffee Maker,Home,6,129,0.1,696.6,Returned
ORD-10009,2026-09-09,Enterprise,Seattle,Backpack,Accessories,1,89,0.15,75.65,Completed
ORD-10010,2026-01-10,Consumer,Austin,USB Hub,Electronics,4,69,0.2,220.8,Completed
ORD-10011,2026-02-11,Small Business,Boston,Laptop Pro,Electronics,7,1299,0.0,9093.0,Completed
ORD-10012,2026-03-12,Enterprise,Washington DC,Headphones,Electronics,2,179,0.05,340.1,Returned
ORD-10013,2026-04-13,Consumer,New York,Keyboard,Electronics,5,119,0.1,535.5,Completed
ORD-10014,2026-05-14,Small Business,Chicago,Office Chair,Furniture,8,349,0.15,2373.2,Completed
ORD-10015,2026-06-15,Enterprise,Seattle,Standing Desk,Furniture,3,499,0.2,1197.6,Completed
ORD-10016,2026-07-16,Consumer,Austin,Monitor,Electronics,6,329,0.0,1974.0,Returned
ORD-10017,2026-08-17,Small Business,Boston,Desk Lamp,Home,1,59,0.05,56.05,Completed
ORD-10018,2026-09-18,Enterprise,Washington DC,Coffee Maker,Home,4,129,0.1,464.4,Completed
ORD-10019,2026-01-19,Consumer,New York,Backpack,Accessories,7,89,0.15,529.55,Completed
ORD-10020,2026-02-20,Small Business,Chicago,USB Hub,Electronics,2,69,0.2,110.4,Returned
ORD-10021,2026-03-21,Enterprise,Seattle,Laptop Pro,Electronics,5,1299,0.0,6495.0,Completed
ORD-10022,2026-04-22,Consumer,Austin,Headphones,Electronics,8,179,0.05,1360.4,Completed
